sample_id,run_id,group,severity,bad_name,ground_truth,current_token_prob,current_token_rank,gt_token_prob,gt_token_rank,entropy,argmax_confidence,argmax_decoded,top5
24,1,smell,severe,x,request,0.0002767307450994849,4.0,1.2888560263490945e-07,983.0,0.05315351486206055,0.9950467348098755,,"[["""", 0.9950467348098755], ["""", 0.0021766559220850468], [""."", 0.0005858389777131379], [""x"", 0.0002767307450994849], ["""", 4.9615086027188227e-05]]"
24,1,smell,moderate,foo,request,0.0001209044421557337,9.0,2.629715254442999e-06,148.0,0.17189152538776398,0.979698896408081,,"[["""", 0.979698896408081], ["""", 0.010883471928536892], [""bar"", 0.001669034594669938], [""."", 0.0015679127536714077], ["""", 0.00034984858939424157]]"
24,1,smell,mild,result1,request,0.00030783880836793287,14.0,6.553162279487879e-08,159.0,0.08097568154335022,0.9897661209106445,1,"[[""1"", 0.9983308911323547], [""2"", 0.0012443145969882607], [""0"", 0.00016839965246617794], [""3"", 5.467136361403391e-05], ["""", 4.2578096326906234e-05]]"
24,1,control,none,,request,4.32696424468304e-06,25.0,4.32696424468304e-06,25.0,0.06075931340456009,0.993129312992096,,"[["""", 0.993129312992096], ["""", 0.004895717836916447], [""."", 0.00031297278474085033], ["""", 0.00013046646199654788], [""="", 6.768510502297431e-05]]"
24,1,mask,full,,request,1.0787797322109327e-09,93688.0,4.235981759848073e-05,7.0,0.060346804559230804,0.9932128190994263,,"[["""", 0.9932128190994263], ["""", 0.004896129481494427], [""."", 0.00020208739442750812], ["""", 0.00010816959547810256], [""="", 6.163316720630974e-05]]"
25,1,smell,severe,a1,requestUrl,0.0003277829178500724,48.5,1.5730269886660153e-06,304.5,0.4636535942554474,0.8466610908508301,1,"[[""1"", 0.9969899654388428], [""2"", 0.0014080993132665753], [""0"", 0.0008540553390048444], [""3"", 0.00019056549353990704], [""Query"", 5.129001146997325e-05]]"
25,1,smell,moderate,data,requestUrl,1.3578544439951656e-06,364.0,9.591091156835319e-07,530.0,0.9219804406166077,0.6149789690971375,,"[["";"", 0.6149789690971375], ["";"", 0.35040441155433655], ["";"", 0.01276348065584898], ["";"", 0.008772202767431736], ["";"", 0.001957343192771077]]"
25,1,smell,mild,item,requestUrl,8.396835255553015e-06,152.0,1.815943051042268e-06,634.0,1.1761548519134521,0.6455480456352234,,"[["";"", 0.6455480456352234], ["";"", 0.25280022621154785], ["";"", 0.05640735477209091], ["";"", 0.014262013137340546], ["";"", 0.004349668510258198]]"
25,1,control,none,,requestUrl,2.365779194768436e-07,678.0,2.365779194768436e-07,678.0,0.31163835525512695,0.8986220359802246,Url,"[[""Url"", 0.9998440742492676], [""URL"", 5.475422949530184e-05], [""Uri"", 2.14420651900582e-05], [""Url"", 1.6699097614036873e-05], [""_url"", 7.888094842201099e-06]]"
25,1,mask,full,,requestUrl,4.1143277248675836e-09,91576.0,1.8738307545618227e-06,42.0,0.22067882120609283,0.948347806930542,Url,"[[""Url"", 0.9997791647911072], [""URL"", 0.00010228772589471191], [""_url"", 1.1476365216367412e-05], [""Url"", 1.0127855603059288e-05], [""url"", 9.514240446151234e-06]]"
33,1,smell,severe,a,clientId,2.137262526957784e-05,37.0,7.43281134418794e-08,8380.0,0.7083603739738464,0.8262155055999756,,"[["""", 0.8262155055999756], [""="", 0.11181610822677612], ["""", 0.03410198912024498], [""="", 0.009770382195711136], ["""", 0.008099932223558426]]"
33,1,smell,moderate,tmp,clientId,0.00011436075146775693,16.0,1.0886208912097572e-07,2633.0,0.584266185760498,0.870530366897583,,"[["""", 0.870530366897583], [""="", 0.07145748287439346], ["""", 0.03593108057975769], ["""", 0.006243885029107332], [""="", 0.0045681241899728775]]"
33,1,smell,mild,result1,clientId,0.0005779627626907313,19.0,5.539595449022272e-10,14499.0,0.39690840244293213,0.908313512802124,1,"[[""1"", 0.998571515083313], [""2"", 0.001169207040220499], [""3"", 8.469707245239988e-05], [""0"", 2.66511196969077e-05], [""4"", 2.1414774892036803e-05]]"
33,1,control,none,,clientId,5.5128218434674636e-08,130.0,5.5128218434674636e-08,130.0,0.8942039012908936,0.7411578893661499,,"[["""", 0.7411578893661499], ["""", 0.10030481219291687], ["""", 0.08851868659257889], ["""", 0.060837943106889725], ["""", 0.004407085478305817]]"
33,1,mask,full,,clientId,1.1031209973255685e-10,88519.0,4.8877069502850645e-08,150.0,0.6324054002761841,0.8371872901916504,,"[["""", 0.8371872901916504], ["""", 0.07787054032087326], ["""", 0.04723087698221207], ["""", 0.034554846584796906], ["""", 0.0015182339120656252]]"
43,1,smell,severe,a1,serviceTimeEWMA,0.0004933255987396024,53.0,1.1437591185270435e-06,1170.5,0.17849746346473694,0.9752121567726135,1,"[[""1"", 0.9962479472160339], [""0"", 0.0014977981336414814], [""2"", 0.0012417184188961983], [""3"", 0.00020270494860596955], [""4"", 5.455729478853755e-05]]"
43,1,smell,moderate,val,serviceTimeEWMA,4.082891609868966e-05,52.0,1.790129857681677e-07,15678.0,0.7165289521217346,0.8716476559638977,,"[["""", 0.8716476559638977], ["""", 0.07616372406482697], [""="", 0.02322862297296524], ["""", 0.0035622247960418463], [""="", 0.0013520680367946625]]"
43,1,smell,mild,myVar,serviceTimeEWMA,1.7901671753861592e-06,232.0,5.307775836627115e-07,1087.5,0.23968267440795898,0.9500719308853149,Var,"[[""Var"", 0.999136745929718], [""var"", 0.00015832451754249632], [""Var"", 0.00010222199489362538], [""_var"", 7.025608647381887e-05], [""Val"", 4.130142042413354e-05]]"
43,1,control,none,,serviceTimeEWMA,4.859822465286268e-07,4916.75,4.859822465286268e-07,4916.75,0.11127559840679169,0.9845954179763794,TimeEWMA,"[[""Time"", 0.9997475743293762], [""Time"", 0.0001088812859961763], [""_time"", 5.474894351209514e-05], [""Times"", 3.3206910302396864e-05], [""time"", 1.473547763453098e-05]]"
43,1,mask,full,,serviceTimeEWMA,1.8093554257669116e-10,110255.5,1.4899411726609912e-07,721.75,0.03971131891012192,0.9924742579460144,TimeEWMA,"[[""Time"", 0.9999239444732666], [""Time"", 4.539647852652706e-05], [""_time"", 9.51561833062442e-06], [""MA"", 5.421835794550134e-06], [""time"", 1.5533821624558186e-06]]"
45,1,smell,severe,xx,context,0.00010204563295701519,37.0,9.271847375202924e-06,426.0,1.3303600549697876,0.826884388923645,,"[["","", 0.826884388923645], ["","", 0.07691222429275513], ["""", 0.01336534135043621], [""."", 0.005930833984166384], ["";"", 0.004476828500628471]]"
45,1,smell,moderate,data,context,7.2551274570287205e-06,20.0,3.535867108439561e-06,36.0,0.4403855800628662,0.8638967275619507,,"[["","", 0.8638967275619507], ["","", 0.1324828565120697], [""."", 0.0008385786786675453], ["","", 0.00022570039436686784], [""\uff0c"", 0.00018711219308897853]]"
45,1,smell,mild,result1,context,0.0005354277224256521,12.5,1.327033373854647e-06,13.0,0.34069302678108215,0.8783389925956726,1,"[[""1"", 0.9986862540245056], [""2"", 0.0010319401044398546], [""0"", 9.016993135446683e-05], [""Context"", 5.469082316267304e-05], [""3"", 5.469082316267304e-05]]"
45,1,control,none,,context,1.4728779262895841e-07,254.0,1.4728779262895841e-07,254.0,0.31072184443473816,0.913700520992279,,"[["","", 0.913700520992279], ["","", 0.08498738706111908], ["","", 0.00016406425856985152], [""."", 0.0001277733827009797], ["""", 0.00010592785110929981]]"
45,1,mask,full,,context,6.659503504202746e-10,91985.0,2.016431835727417e-06,23.0,0.35959041118621826,0.8920964598655701,,"[["","", 0.8920964598655701], ["","", 0.10654573142528534], ["","", 0.00029926502611488104], [""."", 7.108166755642742e-05], ["""", 4.885367161477916e-05]]"
47,1,smell,severe,xx,builder,7.73719439166598e-05,9.0,6.975292308197822e-06,31.0,0.16459716856479645,0.9710412621498108,,"[["""", 0.9710412621498108], ["""", 0.022836701944470406], ["""", 0.0024069708306342363], ["""", 0.001210300950333476], ["""", 0.0007814290001988411]]"
47,1,smell,moderate,val,builder,4.8925841838354245e-05,10.0,1.588389386597555e-05,20.0,0.2296476513147354,0.9510345458984375,,"[["""", 0.9510345458984375], ["""", 0.04448048025369644], ["""", 0.0013431940460577607], ["""", 0.0006344799767248333], ["""", 0.0004941335064359009]]"
47,1,smell,mild,value1,builder,8.509066674378118e-06,29.5,8.898994252604098e-08,355.0,0.24451670050621033,0.9433701038360596,1,"[[""1"", 0.9918534159660339], [""0"", 0.00627814931795001], [""2"", 0.001315971603617072], [""3"", 0.00014764792285859585], [""4"", 3.094868952757679e-05]]"
47,1,control,none,,builder,0.00011372860899427906,7.0,0.00011372860899427906,7.0,0.11059638857841492,0.9809874296188354,,"[["""", 0.9809874296188354], ["""", 0.01585618406534195], ["""", 0.0014748548856005073], ["""", 0.000509696255903691], ["""", 0.0002562913578003645]]"
47,1,mask,full,,builder,6.635810650967855e-11,82178.0,0.00033077236730605364,5.0,0.08866839110851288,0.9860185384750366,,"[["""", 0.9860185384750366], ["""", 0.010953676886856556], ["""", 0.0012289684964343905], ["""", 0.00045211223186925054], [""builder"", 0.00033077236730605364]]"
49,1,smell,severe,x,response,0.0007606468861922622,7.0,9.705491947897826e-07,786.0,0.7146836519241333,0.7836120128631592,,"[["","", 0.7836120128631592], ["","", 0.1981281340122223], ["","", 0.0013349769869819283], [""_,"", 0.0013349769869819283], ["""", 0.0013349769869819283]]"
49,1,smell,moderate,tmp,response,0.0002872399054467678,14.0,1.2819184121326543e-05,85.0,0.4893176555633545,0.9404067397117615,,"[["","", 0.9404067397117615], ["","", 0.026677288115024567], ["","", 0.005591862834990025], [""."", 0.0034992985893040895], ["";"", 0.0012093252735212445]]"
49,1,smell,mild,temp1,response,0.00023944407894305186,12.5,6.199216784352757e-08,553.0,0.3302747905254364,0.8790040016174316,1,"[[""1"", 0.9974954128265381], [""2"", 0.001243273145519197], [""0"", 0.0005516990786418319], [""3"", 0.00022998239728622139], [""4"", 4.254246596246958e-05]]"
49,1,control,none,,response,1.5655422203053604e-06,56.0,1.5655422203053604e-06,56.0,0.38970834016799927,0.8893376588821411,,"[["","", 0.8893376588821411], ["","", 0.10621623694896698], ["""", 0.001945418189279735], ["","", 0.00038307555951178074], ["")"", 0.00015001454448793083]]"
49,1,mask,full,,response,1.7071093427745154e-09,86460.0,1.6235539078479633e-05,8.0,0.31897619366645813,0.9131929874420166,,"[["","", 0.9131929874420166], ["","", 0.08494017273187637], ["","", 0.000369519111700356], ["""", 0.0001359384914394468], [""\uff0c"", 5.0008973630610853e-05]]"
50,1,smell,severe,x,parsed,3.0282096274980574e-11,151881.0,9.460178063136482e-08,946.0,0.11486340314149857,0.9828099012374878,Content,"[[""Content"", 0.9828099012374878], [""content"", 0.012371751479804516], [""ContentType"", 0.0014775949530303478], [""-content"", 0.0010155352065339684], [""Content"", 0.0006979664321988821]]"
50,1,smell,moderate,val,parsed,2.0362878785817884e-05,9.0,3.140630724374205e-07,212.0,0.13312458992004395,0.9796625971794128,,"[["""", 0.9796625971794128], ["""", 0.010223696939647198], [""="", 0.007962224073708057], [""="", 0.0005418360815383494], ["""", 0.00017590841162018478]]"
50,1,smell,mild,result1,parsed,2.237855666287203e-05,21.0,1.9858596544963802e-08,64.0,0.053718384355306625,0.9923083186149597,1,"[[""1"", 0.9997461438179016], [""0"", 0.0001488228444941342], [""2"", 7.029894186416641e-05], ["""", 1.0127521818503737e-05], [""3"", 6.960537120903609e-06]]"
50,1,control,none,,parsed,2.9047165298834443e-05,7.0,2.9047165298834443e-05,7.0,0.06876254826784134,0.9909515380859375,,"[["""", 0.9909515380859375], ["""", 0.004049792420119047], [""="", 0.0038044280372560024], ["""", 0.00021463113080244511], ["""", 0.00013018037134315819]]"
50,1,mask,full,,parsed,1.210518352223744e-10,95325.0,0.00031304071308113635,5.0,0.05070072412490845,0.9933449029922485,,"[["""", 0.9933449029922485], ["""", 0.004600099753588438], [""="", 0.0006627071998082101], ["""", 0.00048484696890227497], [""parsed"", 0.00031304071308113635]]"
52,1,smell,severe,xx,forwardButton,9.489856893196702e-05,48.0,1.5279123317668564e-06,5110.0,1.8607027530670166,0.7223814129829407,,"[["";"", 0.7223814129829407], ["""", 0.0715254470705986], ["";"", 0.03828481212258339], ["";"", 0.03596525266766548], ["";"", 0.021814029663801193]]"
52,1,smell,moderate,tmp,forwardButton,5.178693027119152e-05,62.0,6.076387535358663e-07,14890.0,1.4638317823410034,0.8025707006454468,,"[["";"", 0.8025707006454468], ["";"", 0.054615624248981476], ["";"", 0.02661753073334694], [""."", 0.014699595980346203], ["";"", 0.014699595980346203]]"
52,1,smell,mild,temp1,forwardButton,3.3965746297326405e-05,23.0,6.098296468248776e-06,1819.0,0.4531787037849426,0.9189894199371338,1,"[[""1"", 0.9850484728813171], [""2"", 0.005857312120497227], [""Button"", 0.004561679903417826], [""3"", 0.0020242328755557537], [""0"", 0.0008982479921542108]]"
52,1,control,none,,forwardButton,6.252084645552713e-07,360.0,6.252084645552713e-07,360.0,0.4512304365634918,0.9123038053512573,Button,"[[""Button"", 0.9999356269836426], [""Button"", 1.670062556513585e-05], [""button"", 2.1232463041087613e-06], [""Panel"", 1.933237626872142e-06], [""Buffer"", 1.7060763184417738e-06]]"
52,1,mask,full,,forwardButton,6.466825046508654e-08,81472.0,2.2078178972151363e-05,22.5,0.7732746005058289,0.8087364435195923,Button,"[[""Button"", 0.9999450445175171], [""Button"", 1.3845435205439571e-05], ["""", 3.0893340863258345e-06], [""Forward"", 2.561147994128987e-06], [""button"", 1.994624199141981e-06]]"
53,1,smell,severe,x,random,0.022358059883117676,4.0,0.006818822585046291,8.0,1.6388605833053589,0.7403972148895264,Color,"[[""Color"", 0.7403972148895264], [""Random"", 0.06886766850948334], [""Color"", 0.053634196519851685], [""x"", 0.022358059883117676], [""color"", 0.012739237397909164]]"
53,1,smell,moderate,data,random,0.0017291263211518526,6.0,0.0011884099803864956,7.0,0.47372931241989136,0.8957096338272095,Color,"[[""Color"", 0.8957096338272095], [""Color"", 0.0833139717578888], [""Random"", 0.004415478557348251], ["".Color"", 0.002850847551599145], [""color"", 0.002850847551599145]]"
53,1,smell,mild,result1,random,0.00035415722231846303,13.5,0.0005040717660449445,8.0,0.5407819151878357,0.8915470838546753,1Color,"[[""1"", 0.9701622724533081], [""a"", 0.013000181876122952], [""Random"", 0.0039648315869271755], [""Random"", 0.0018728538416326046], [""2"", 0.0012092053657397628]]"
53,1,control,none,,random,3.848603682854446e-06,37.0,3.848603682854446e-06,37.0,0.30041825771331787,0.9403056502342224,Color,"[[""Color"", 0.9403056502342224], [""Color"", 0.04681506007909775], [""color"", 0.008659915998578072], [""Colors"", 0.00031543741351924837], [""_color"", 0.00026150679332204163]]"
53,1,mask,full,,random,1.4449424767803976e-08,89986.0,0.04103884473443031,3.0,1.4200938940048218,0.6833581328392029,Color,"[[""Color"", 0.6833581328392029], [""Color"", 0.17277999222278595], [""random"", 0.04103884473443031], [""Random"", 0.02649667114019394], [""color"", 0.02649667114019394]]"
54,1,smell,severe,a1,observer,2.3584276911403634e-06,13877.0,6.406831403182878e-07,44.0,0.2844275236129761,0.9029569625854492,1,"[[""1"", 0.9893264770507812], [""2"", 0.006262154784053564], [""0"", 0.003148809541016817], [""3"", 0.0004261450085323304], [""4"", 6.535145075758919e-05]]"
54,1,smell,moderate,data,observer,5.409869885397711e-08,1697.0,1.373592908748833e-06,49.0,0.6525918841362,0.6779336929321289,,"[["")"", 0.6779336929321289], ["")"", 0.32023322582244873], ["")"", 0.0005455556674860418], [""})"", 4.76701206935104e-05], ["""", 3.712552643264644e-05]]"
54,1,smell,mild,temp1,observer,3.6217696219864592e-06,78.5,1.4031690476201675e-08,3025.0,0.2248108685016632,0.9378317594528198,1,"[[""1"", 0.9903649687767029], [""2"", 0.007103399373590946], [""0"", 0.001023341785185039], [""3"", 0.0008483800920657814], [""4"", 0.00011481576802907512]]"
54,1,control,none,,observer,4.968165399077407e-07,57.0,4.968165399077407e-07,57.0,0.4901246428489685,0.8166497349739075,,"[["")"", 0.8166497349739075], ["")"", 0.18221919238567352], ["")"", 0.00039860286051407456], ["""", 0.00013775346451438963], ["""", 1.5455509128514677e-05]]"
54,1,mask,full,,observer,1.934377991119618e-09,85489.0,1.3302712432050612e-05,7.0,0.34508973360061646,0.9025397896766663,,"[["")"", 0.9025397896766663], ["")"", 0.09512698650360107], ["")"", 0.001056765322573483], ["""", 2.816184496623464e-05], [""){"", 1.708102172415238e-05]]"
63,1,smell,severe,x,responseDuration,0.00010913574078585953,17.0,7.381188282806761e-08,4924.0,0.713585376739502,0.7564128041267395,,"[["""", 0.7564128041267395], [""="", 0.21671590209007263], ["""", 0.01301480084657669], [""="", 0.004225287586450577], ["""", 0.0024074960965663195]]"
63,1,smell,moderate,foo,responseDuration,5.9327219787519425e-05,21.0,2.1106195902120817e-07,1182.0,0.7736396789550781,0.7445746064186096,,"[["""", 0.7445746064186096], [""="", 0.2133241891860962], ["""", 0.023934312164783478], [""="", 0.006051541771739721], ["""", 0.003907168749719858]]"
63,1,smell,mild,result1,responseDuration,0.00046561731630845316,39.0,1.594422474049395e-07,1066.5,0.36377790570259094,0.895824670791626,1,"[[""1"", 0.9965463280677795], [""2"", 0.002470191568136215], [""0"", 0.0004292548983357847], [""Time"", 0.00015791405166964978], [""3"", 0.00014834651665296406]]"
63,1,control,none,,responseDuration,2.2743787267742732e-05,6540.5,2.2743787267742732e-05,6540.5,0.7165851593017578,0.7165631055831909,Duration,"[[""Duration"", 0.8261160850524902], [""Time"", 0.16267189383506775], [""Duration"", 0.0014073877828195691], [""_duration"", 0.000586686481256038], [""Timeout"", 0.0004569118609651923]]"
63,1,mask,full,,responseDuration,7.831313787558247e-11,113709.0,6.091258933249577e-06,251.0,0.14205339550971985,0.9681336283683777,Duration,"[[""Duration"", 0.9998449087142944], [""_duration"", 6.204471719684079e-05], [""Duration"", 5.4754276789026335e-05], [""Time"", 7.410185844491934e-06], [""duration"", 5.771058113168692e-06]]"
64,1,smell,severe,a,tokenStream,7.652185740880668e-05,21.0,2.2749350137019064e-06,309.0,0.3923172950744629,0.930824875831604,file,"[[""file"", 0.930824875831604], [""resource"", 0.0435352623462677], [""path"", 0.009125486947596073], [""text"", 0.006271848920732737], [""resources"", 0.0007973760948516428]]"
64,1,smell,moderate,data,tokenStream,1.0084084323125353e-07,184.0,1.68213656337457e-08,3129.0,0.17674672603607178,0.9613565802574158,,"[["")"", 0.9613565802574158], ["")"", 0.03727583959698677], ["")"", 0.0005317112663760781], ["""", 9.239756764145568e-05], [""})"", 6.350385228870437e-05]]"
64,1,smell,mild,item,tokenStream,3.0354510727192974e-07,140.0,6.326423545033322e-07,83.0,0.19322089850902557,0.9617645144462585,,"[["")"", 0.9617645144462585], ["")"", 0.03290976956486702], ["")"", 0.003468664363026619], ["""", 0.0006027634372003376], [""){"", 8.959279512055218e-05]]"
64,1,control,none,,tokenStream,2.508922776478517e-08,2952.0,2.508922776478517e-08,2952.0,0.19387198984622955,0.9396980404853821,Stream,"[[""Stream"", 0.9999130964279175], [""stream"", 4.00618118874263e-05], [""_stream"", 7.410691068798769e-06], [""Stream"", 4.784702014148934e-06], [""Stack"", 2.7262408366368618e-06]]"
64,1,mask,full,,tokenStream,7.825270164924653e-10,97443.5,9.224819450537325e-07,36.0,0.1054367870092392,0.9782088994979858,Stream,"[[""Stream"", 0.9997925162315369], ["""", 6.204146484378725e-05], [""stream"", 3.5350163670955226e-05], [""Stream"", 1.892157888505608e-05], [""_stream"", 9.816386409511324e-06]]"
65,1,smell,severe,a1,transformState,0.000150567286989034,1909.5,1.6143626737630257e-05,64.5,0.5277486443519592,0.8565824031829834,1,"[[""1"", 0.9919018149375916], [""2"", 0.003808076260611415], [""0"", 0.002169776475057006], [""3"", 0.0011613975511863828], [""4"", 0.00017810608551371843]]"
65,1,smell,moderate,bar,transformState,6.20533901383169e-05,16.0,1.1625986928720522e-07,3708.0,0.5895825624465942,0.85533207654953,,"[["")"", 0.85533207654953], ["")"", 0.08468934893608093], ["")"", 0.05136668309569359], ["""", 0.0027223348151892424], ["")"", 0.00044440891360864043]]"
65,1,smell,mild,myVar,transformState,7.734469056330795e-07,3144.0,2.6356188360665556e-05,318.0,0.33735889196395874,0.9237537980079651,Var,"[[""Var"", 0.9991176724433899], [""State"", 0.00031485993531532586], [""var"", 7.478579209418967e-05], [""Val"", 4.261165304342285e-05], [""Param"", 1.7763182768248953e-05]]"
65,1,control,none,,transformState,3.4136582627297685e-07,127.0,3.4136582627297685e-07,127.0,0.2771964967250824,0.9044498801231384,State,"[[""State"", 0.9998124241828918], [""State"", 3.11970325128641e-05], [""state"", 2.7531285013537854e-05], [""_state"", 1.8921955415862612e-05], [""Result"", 5.593319656327367e-06]]"
65,1,mask,full,,transformState,1.1773236884091848e-09,95190.0,1.2273681278429649e-05,12.5,0.2481118142604828,0.9305429458618164,State,"[[""State"", 0.9998283386230469], [""State"", 7.96656750026159e-05], ["""", 2.2824600819149055e-05], ["","", 1.3005064829485491e-05], [""_state"", 1.012835400615586e-05]]"
67,1,smell,severe,xx,screenX,2.6020474251708947e-05,16.0,2.178223752480335e-07,2349.0,0.3919629752635956,0.9158735871315002,,"[["","", 0.9158735871315002], ["","", 0.07062458992004395], ["""", 0.006992780603468418], ["","", 0.00047586471191607416], [""\uff0c"", 0.0004070286813657731]]"
67,1,smell,moderate,val,screenX,2.474425400578184e-06,131.0,1.2860327558428253e-07,5698.0,0.32347947359085083,0.9363627433776855,,"[["","", 0.9363627433776855], ["","", 0.05623295530676842], [""_,"", 0.00039092206861823797], ["","", 0.00039092206861823797], [""\uff0c"", 0.00037889464874751866]]"
