model,mode,id,identifier,n_sites,consistent,agreed_pred,em,lev_sim,nw_sim,subtok_fuzzy,qual_char,copies_obf
DiffuCoder-7B,all-masked,0,sequence,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,index,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,isEncoded,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,valueEnd,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,name,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,toExcluded,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,isPath,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,firstEscaped,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,decodedCapacity,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,buf,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,charBuf,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,charBufIdx,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,bufIdx,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,toExclude,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,chars,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,bytes,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,bufSize,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,0,size,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,group,21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,tracks,26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,length,14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,type,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,formats,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,excludeUntilTimes,5,1.0,exclusionTimes,0.0,0.6470588235294117,0.6470588235294118,0.25,1.0,0.0
DiffuCoder-7B,all-masked,1,hashCode,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,index,36,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,format,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,1,indexInTrackGroup,2,1.0,trackIndex,0.0,0.23529411764705888,0.23529411764705882,0.5,1.0,0.0
DiffuCoder-7B,all-masked,1,playbackSpeed,1,1.0,playbackSpeed,1.0,1.0,1.0,1.0,1.0,0.0
DiffuCoder-7B,all-masked,1,playbackPositionUs,1,1.0,playbackTime,0.0,0.5,0.5,0.25,1.0,0.0
DiffuCoder-7B,all-masked,1,queue,2,1.0,mediaChunks,0.0,0.09090909090909094,0.13636363636363635,0.0,0.9090909090909091,0.0
DiffuCoder-7B,all-masked,1,exclusionDurationMs,2,1.0,exclusionMs,0.0,0.5789473684210527,0.5789473684210527,0.6666666666666666,0.8181818181818182,0.0
DiffuCoder-7B,all-masked,1,nowMs,6,1.0,nowMs,1.0,1.0,1.0,1.0,0.6,0.0
DiffuCoder-7B,all-masked,1,canExclude,4,1.0,excludeTrack,0.0,0.25,0.375,0.3333333333333333,1.0,0.0
DiffuCoder-7B,all-masked,1,obj,5,1.0,otherObject,0.0,0.2727272727272727,0.2727272727272727,0.5,1.0,0.0
DiffuCoder-7B,all-masked,1,other,3,1.0,otherSelection,0.0,0.3571428571428571,0.35714285714285715,0.5,1.0,0.0
DiffuCoder-7B,all-masked,2,indices,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,client,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,cluster,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,usersPasswdHashed,2,1.0,hash,0.0,0.17647058823529416,0.17647058823529413,0.3333333333333333,1.0,0.0
DiffuCoder-7B,all-masked,2,user1,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,expectedIndexName,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,role1,1,1.0,testuser,0.0,0.125,0.125,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,nrole1,1,1.0,ntest,0.0,0.16666666666666663,0.25,0.0,0.8,0.0
DiffuCoder-7B,all-masked,2,none,1,1.0,ALL,0.0,0.0,0.0,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,names,1,1.0,index_pattern,0.0,0.23076923076923073,0.23076923076923078,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,datemath,2,1.0,test,0.0,0.375,0.375,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,privileges,1,1.0,index_permissions,0.0,0.17647058823529416,0.23529411764705882,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,expression,12,1.0,index,0.0,0.09999999999999998,0.1,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,now,1,1.0,now,1.0,1.0,1.0,1.0,1.0,0.0
DiffuCoder-7B,all-masked,2,refeshOnOperation,5,1.0,refresh,0.0,0.2941176470588235,0.3235294117647059,0.3333333333333333,1.0,0.0
DiffuCoder-7B,all-masked,2,response,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,foo,2,1.0,old_name,0.0,0.0,0.0625,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,bar,2,1.0,old_value,0.0,0.11111111111111116,0.1111111111111111,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,multiSearchResponse,2,1.0,response,0.0,0.42105263157894735,0.42105263157894735,0.3333333333333333,1.0,0.0
DiffuCoder-7B,all-masked,2,getResponse,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,2,updateResponse,2,1.0,update,0.0,0.4285714285714286,0.42857142857142855,0.5,1.0,0.0
DiffuCoder-7B,all-masked,2,field,2,1.0,new_value,0.0,0.11111111111111116,0.16666666666666666,0.0,1.0,0.0
DiffuCoder-7B,all-masked,2,multiGetResponse,4,1.0,multi,0.0,0.3125,0.3125,0.3333333333333333,0.8,0.0
DiffuCoder-7B,all-masked,2,deleteIndexResponse,2,1.0,delete,0.0,0.3157894736842105,0.3157894736842105,0.3333333333333333,1.0,0.0
DiffuCoder-7B,all-masked,3,the,117,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,disableX,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,pan,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,overscrollY,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actor,97,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hScrollOnBottom,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,visualAmountX,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,width,68,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,height,63,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,style,61,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorArea,52,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hScrollBounds,31,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hKnobBounds,23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,vScrollBounds,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,vKnobBounds,23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorCullingArea,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,flickScrollListener,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollX,33,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollY,32,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,vScrollOnRight,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,amountX,38,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,amountY,43,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,visualAmountY,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,maxX,21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,maxY,24,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchScrollH,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchScrollV,82,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,lastPoint,86,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fadeScrollBars,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,smoothScrolling,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollBarTouch,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fadeAlpha,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fadeAlphaSeconds,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fadeDelay,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fadeDelaySeconds,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,cancelTouchFocus,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,flickScroll,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,flingTime,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,flingTimer,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,velocityX,16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,velocityY,16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,overscrollX,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,overscrollDistance,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,overscrollSpeedMin,10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,overscrollSpeedMax,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,forceScrollX,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,forceScrollY,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,disableY,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,clamp,26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollbarsOnTop,9,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,variableSizeKnobs,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,draggingPointer,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,be,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,skin,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,cannot,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setActor,13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addCaptureListener,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getFlickScrollListener,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addScrollListener,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,handlePosition,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchDown,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,event,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,pointer,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,button,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setScrollbarsVisible,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setScrollX,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setScrollY,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchUp,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,cancel,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchDragged,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,delta,23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollH,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,total,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setScrollPercentX,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollV,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setScrollPercentY,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,mouseMoved,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,deltaX,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,deltaY,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,fling,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,handle,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrolled,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollAmountX,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollAmountY,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getMouseWheelY,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getMouseWheelX,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setFadeScrollBars,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,visible,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,stage,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setCancelTouchFocus,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setStyle,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getStyle,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,act,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,panning,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,isPanning,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,animating,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,alpha,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hit,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,distance,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,visualScrollX,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,visualScrollY,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,layout,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,bg,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,background,22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hScrollKnob,20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,vScrollKnob,21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,bgLeftWidth,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,bgRightWidth,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,bgTopHeight,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,bgBottomHeight,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollbarHeight,15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,scrollbarWidth,17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getMinHeight,12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,hScroll,14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getMinWidth,13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,vScroll,14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorWidth,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorHeight,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getPrefWidth,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getPrefHeight,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getScrollPercentX,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getScrollPercentY,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,updateActorPosition,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,draw,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,batch,17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,parentAlpha,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getVisualScrollPercentX,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getVisualScrollPercentY,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,color,11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,drawScrollBars,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,corner,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,removeActor,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addActor,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getActor,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,setWidget,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getWidget,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addActorAt,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,index,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addActorBefore,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorBefore,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,addActorAfter,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,actorAfter,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,unfocus,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,removeActorAt,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,touchable,3,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,pixelsX,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,pixelsY,4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,pixels,7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getScrollX,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getScrollY,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,updateVisualScroll,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getVisualScrollX,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
DiffuCoder-7B,all-masked,3,getVisualScrollY,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
